n,f,ap,ae,H,D,z,chatter_label
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.011141965806310935
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.01140098038051692
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.011442103236902824
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.011281016225652432
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.008903191746273237
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.006940824185448545
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.004398731280503547
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.028287499463346712
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0036810857919919327
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.004300089746325779
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.003554985201755564
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0026744301126089363
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0003894444853238189
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0018511099107227072
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.001549367324569535
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0016964254865948394
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0010887925457023072
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0012892436215898979
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0007830116265330519
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.001144597363163717
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0009200396365892185
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0010975085430421894
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.001498939471841754
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.001089507470503454
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.001493871113086014
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0015119479410485863
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.002111223756686289
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.0034374891047133866
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.003922079441875099
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.004614349693028759
0.4,0.20000000298023224,0.5,1.0,0.2,0.5,0.6666666666666666,0.004807070640405765
